#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HIST1H2BL	HIST2H2AB	1856676	1851519	9606.ENSP00000366618	9606.ENSP00000332790	0	0	0	0	0.863	0.649	0.900	0.498	0.997
AKT1	TSC2	1846136	1842755	9606.ENSP00000270202	9606.ENSP00000219476	0	0	0	0	0.057	0.569	0.900	0.934	0.997
CDK1	CDC25B	1858283	1843788	9606.ENSP00000378699	9606.ENSP00000245960	0	0	0	0	0.101	0.779	0.900	0.902	0.997
HIST1H2BB	HIST1H2AC	1853610	1850346	9606.ENSP00000350580	9606.ENSP00000321389	0	0	0	0	0.859	0.649	0.900	0.501	0.997
HIST1H2BN	H2AFX	1858441	1856252	9606.ENSP00000380177	9606.ENSP00000364310	0	0	0	0	0.859	0.649	0.900	0.500	0.997
HIST3H2BB	HIST3H2A	1857956	1854432	9606.ENSP00000375736	9606.ENSP00000355656	0	0	0	0	0.868	0.531	0.900	0.667	0.997
HIST1H2BN	HIST1H2AC	1858441	1850346	9606.ENSP00000380177	9606.ENSP00000321389	0	0	0	0	0.859	0.649	0.900	0.523	0.997
TP53	CDK2	1846083	1845906	9606.ENSP00000269305	9606.ENSP00000266970	0	0	0	0	0.093	0.606	0.900	0.926	0.997
HIST1H2BN	H2AFJ	1858441	1857794	9606.ENSP00000380177	9606.ENSP00000373730	0	0	0	0	0.859	0.649	0.900	0.504	0.997
H2AFX	HIST1H2BB	1856252	1853610	9606.ENSP00000364310	9606.ENSP00000350580	0	0	0	0	0.859	0.649	0.900	0.539	0.997
EIF4E	EIF4A1	1861659	1847443	9606.ENSP00000425561	9606.ENSP00000293831	0	0	0	0	0.124	0.569	0.900	0.944	0.997
HIST2H2BE	HIST3H2A	1854962	1854432	9606.ENSP00000358151	9606.ENSP00000355656	0	0	0	0	0.859	0.531	0.900	0.693	0.997
HIST1H2BN	HIST1H2AJ	1858441	1851044	9606.ENSP00000380177	9606.ENSP00000328484	0	0	0	0	0.859	0.649	0.900	0.518	0.997
HSP90AA1	HSP90AB1	1851814	1850780	9606.ENSP00000335153	9606.ENSP00000325875	0	0	0.527	0.984	0.502	0.945	0.900	0.900	0.997
HIST3H2BB	H2AFJ	1857956	1857794	9606.ENSP00000375736	9606.ENSP00000373730	0	0	0	0	0.859	0.649	0.900	0.515	0.997
HIST1H2BB	HIST1H2AJ	1853610	1851044	9606.ENSP00000350580	9606.ENSP00000328484	0	0	0	0	0.867	0.649	0.900	0.560	0.997
HIST3H2BB	HIST1H2AA	1857956	1847815	9606.ENSP00000375736	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.620	0.997
HIST1H2AJ	HIST1H2BO	1851044	1848526	9606.ENSP00000328484	9606.ENSP00000303408	0	0	0	0	0.875	0.531	0.900	0.547	0.997
HIST2H2BE	HIST1H2AA	1854962	1847815	9606.ENSP00000358151	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.671	0.997
H2AFJ	HIST1H2BL	1857794	1856676	9606.ENSP00000373730	9606.ENSP00000366618	0	0	0	0	0.859	0.649	0.900	0.498	0.997
HIST2H2BE	HIST2H2AB	1854962	1851519	9606.ENSP00000358151	9606.ENSP00000332790	0	0	0	0	0.859	0.531	0.900	0.651	0.997
HIST1H2BK	HIST1H2AA	1853439	1847815	9606.ENSP00000349430	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.601	0.997
HIST1H2BL	H2AFX	1856676	1856252	9606.ENSP00000366618	9606.ENSP00000364310	0	0	0	0	0.859	0.649	0.900	0.510	0.997
HIST3H2BB	HIST1H2AJ	1857956	1851044	9606.ENSP00000375736	9606.ENSP00000328484	0	0	0	0	0.859	0.649	0.900	0.498	0.997
GRB2	EGFR	1852164	1846445	9606.ENSP00000339007	9606.ENSP00000275493	0	0	0	0	0	0.634	0.900	0.945	0.997
EIF4E	EIF4A2	1861659	1850828	9606.ENSP00000425561	9606.ENSP00000326381	0	0	0	0	0.124	0.423	0.900	0.947	0.997
GRB2	IRS1	1852164	1848682	9606.ENSP00000339007	9606.ENSP00000304895	0	0	0	0	0	0.612	0.900	0.904	0.996
HIST2H2AB	HIST1H2BO	1851519	1848526	9606.ENSP00000332790	9606.ENSP00000303408	0	0	0	0	0.859	0.531	0.900	0.498	0.996
HIST1H2BO	HIST1H2AA	1848526	1847815	9606.ENSP00000303408	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.498	0.996
HIST1H2BN	HIST1H2AA	1858441	1847815	9606.ENSP00000380177	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.564	0.996
HIST1H2BH	HIST2H2AB	1853333	1851519	9606.ENSP00000348706	9606.ENSP00000332790	0	0	0	0	0.859	0.531	0.900	0.515	0.996
H2AFX	HIST1H2BK	1856252	1853439	9606.ENSP00000364310	9606.ENSP00000349430	0	0	0	0	0.859	0.531	0.900	0.517	0.996
HIST3H2A	HIST1H2BO	1854432	1848526	9606.ENSP00000355656	9606.ENSP00000303408	0	0	0	0	0.870	0.531	0.900	0.498	0.996
H2AFJ	HIST1H2BK	1857794	1853439	9606.ENSP00000373730	9606.ENSP00000349430	0	0	0	0	0.859	0.531	0.900	0.506	0.996
HIST1H2BK	HIST1H2AJ	1853439	1851044	9606.ENSP00000349430	9606.ENSP00000328484	0	0	0	0	0.859	0.531	0.900	0.523	0.996
H2AFX	HIST1H2BO	1856252	1848526	9606.ENSP00000364310	9606.ENSP00000303408	0	0	0	0	0.859	0.531	0.900	0.540	0.996
AKT2	FOXO1	1857974	1857055	9606.ENSP00000375892	9606.ENSP00000368880	0	0	0	0	0	0.669	0.900	0.892	0.996
HIST2H2BE	HIST1H2AC	1854962	1850346	9606.ENSP00000358151	9606.ENSP00000321389	0	0	0	0	0.859	0.531	0.900	0.547	0.996
HIST1H2BH	HIST1H2AC	1853333	1850346	9606.ENSP00000348706	9606.ENSP00000321389	0	0	0	0	0.870	0.531	0.900	0.506	0.996
H2AFJ	HIST2H2BE	1857794	1854962	9606.ENSP00000373730	9606.ENSP00000358151	0	0	0	0	0.859	0.531	0.900	0.523	0.996
HSP90AA1	AKT1	1851814	1846136	9606.ENSP00000335153	9606.ENSP00000270202	0	0	0	0	0.053	0.734	0.900	0.879	0.996
HIST1H2BB	HIST1H2BO	1853610	1848526	9606.ENSP00000350580	9606.ENSP00000303408	0	0	0	0.988	0.109	0.961	0.900	0.365	0.996
H2AFJ	HIST1H2BD	1857794	1847163	9606.ENSP00000373730	9606.ENSP00000289316	0	0	0	0	0.859	0.531	0.900	0.502	0.996
H2AFJ	HIST1H2BO	1857794	1848526	9606.ENSP00000373730	9606.ENSP00000303408	0	0	0	0	0.859	0.531	0.900	0.526	0.996
HIST1H2AJ	HIST1H2BD	1851044	1847163	9606.ENSP00000328484	9606.ENSP00000289316	0	0	0	0	0.872	0.531	0.900	0.515	0.996
H2AFX	HIST1H2BD	1856252	1847163	9606.ENSP00000364310	9606.ENSP00000289316	0	0	0	0	0.859	0.531	0.900	0.504	0.996
HIST1H2AA	HIST1H2BD	1847815	1847163	9606.ENSP00000297012	9606.ENSP00000289316	0	0	0	0	0.859	0.531	0.900	0.523	0.996
HIST2H2AB	HIST1H2BD	1851519	1847163	9606.ENSP00000332790	9606.ENSP00000289316	0	0	0	0	0.859	0.531	0.900	0.589	0.996
HIST1H2AC	HIST1H2BO	1850346	1848526	9606.ENSP00000321389	9606.ENSP00000303408	0	0	0	0	0.870	0.531	0.900	0.517	0.996
H2AFJ	HIST1H2BH	1857794	1853333	9606.ENSP00000373730	9606.ENSP00000348706	0	0	0	0	0.859	0.531	0.900	0.498	0.996
EGFR	TP53	1846445	1846083	9606.ENSP00000275493	9606.ENSP00000269305	0	0	0	0	0	0.126	0.900	0.958	0.996
HIST3H2A	HIST1H2BB	1854432	1853610	9606.ENSP00000355656	9606.ENSP00000350580	0	0	0	0	0.859	0.531	0.900	0.586	0.996
HIST1H2BH	HIST1H2AA	1853333	1847815	9606.ENSP00000348706	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.508	0.996
HIST1H2BH	HIST1H2AJ	1853333	1851044	9606.ENSP00000348706	9606.ENSP00000328484	0	0	0	0	0.875	0.531	0.900	0.498	0.996
HIST3H2A	HIST1H2BH	1854432	1853333	9606.ENSP00000355656	9606.ENSP00000348706	0	0	0	0	0.859	0.531	0.900	0.527	0.996
CDK1	CDKN1A	1858283	1843736	9606.ENSP00000378699	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.842	0.996
HIST1H2BL	HIST1H2AA	1856676	1847815	9606.ENSP00000366618	9606.ENSP00000297012	0	0	0	0	0.859	0.531	0.900	0.498	0.996
HIST1H2BN	HIST3H2A	1858441	1854432	9606.ENSP00000380177	9606.ENSP00000355656	0	0	0	0	0.865	0.531	0.900	0.515	0.996
HIST2H2BE	HIST1H2AJ	1854962	1851044	9606.ENSP00000358151	9606.ENSP00000328484	0	0	0	0	0.859	0.531	0.900	0.501	0.996
PTEN	TP53	1855586	1846083	9606.ENSP00000361021	9606.ENSP00000269305	0	0	0	0	0	0.407	0.900	0.942	0.996
HIST3H2A	HIST1H2BK	1854432	1853439	9606.ENSP00000355656	9606.ENSP00000349430	0	0	0	0	0.870	0.531	0.900	0.556	0.996
HIST3H2A	HIST1H2BD	1854432	1847163	9606.ENSP00000355656	9606.ENSP00000289316	0	0	0	0	0.867	0.531	0.900	0.512	0.996
H2AFX	HIST1H2BH	1856252	1853333	9606.ENSP00000364310	9606.ENSP00000348706	0	0	0	0	0.859	0.531	0.900	0.498	0.996
GRB2	ERBB2	1852164	1846101	9606.ENSP00000339007	9606.ENSP00000269571	0	0	0	0	0.048	0.634	0.900	0.892	0.995
CDK6	CDKN1B	1845799	1843169	9606.ENSP00000265734	9606.ENSP00000228872	0	0	0	0	0	0.650	0.900	0.890	0.995
HIST1H2BL	HIST1H2BO	1856676	1848526	9606.ENSP00000366618	9606.ENSP00000303408	0	0	0	0.988	0.876	0.689	0.900	0.328	0.995
CDK6	CDKN1A	1845799	1843736	9606.ENSP00000265734	9606.ENSP00000244741	0	0	0	0	0	0.655	0.900	0.873	0.995
HIST3H2BB	HIST1H2AK	1857956	1851241	9606.ENSP00000375736	9606.ENSP00000330307	0	0	0	0	0.859	0.924	0	0.635	0.995
CDK1	FOXM1	1858283	1852579	9606.ENSP00000378699	9606.ENSP00000342307	0	0	0	0	0.813	0.416	0.900	0.626	0.995
FZR1	CDK2	1858270	1845906	9606.ENSP00000378529	9606.ENSP00000266970	0	0	0	0	0.294	0.880	0.900	0.578	0.995
KAT2B	EP300	1845408	1845316	9606.ENSP00000263754	9606.ENSP00000263253	0	0	0	0	0.102	0.396	0.900	0.912	0.994
HRAS	ERBB2	1849235	1846101	9606.ENSP00000309845	9606.ENSP00000269571	0	0	0	0	0	0.420	0.900	0.913	0.994
HIST1H2AK	HIST1H2BG	1851241	1843728	9606.ENSP00000330307	9606.ENSP00000244601	0	0	0	0	0.870	0.870	0	0.690	0.994
CDK2	CDC25B	1845906	1843788	9606.ENSP00000266970	9606.ENSP00000245960	0	0	0	0	0.101	0.778	0.900	0.764	0.994
CDK1	FZR1	1858283	1858270	9606.ENSP00000378699	9606.ENSP00000378529	0	0	0	0	0.294	0.779	0.900	0.677	0.994
AKT1	CDKN1B	1846136	1843169	9606.ENSP00000270202	9606.ENSP00000228872	0	0	0	0	0.052	0.595	0.900	0.864	0.994
TP53	EP300	1846083	1845316	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0.053	0.670	0.900	0.839	0.994
AKT1	ERBB3	1846136	1845918	9606.ENSP00000270202	9606.ENSP00000267101	0	0	0	0	0	0.335	0.900	0.920	0.994
HDAC1	SMARCA4	1855935	1853627	9606.ENSP00000362649	9606.ENSP00000350720	0	0	0	0	0.110	0.768	0.900	0.778	0.994
TLR1	TLR2	1854260	1844747	9606.ENSP00000354932	9606.ENSP00000260010	0	0	0	0.787	0.459	0.875	0.900	0.943	0.994
RPS6KA1	TSC2	1862001	1842755	9606.ENSP00000435412	9606.ENSP00000219476	0	0	0	0	0.055	0.569	0.900	0.852	0.993
HIST2H2BE	HIST1H2AK	1854962	1851241	9606.ENSP00000358151	9606.ENSP00000330307	0	0	0	0	0.859	0.870	0	0.681	0.993
AKT1	CDKN1A	1846136	1843736	9606.ENSP00000270202	9606.ENSP00000244741	0	0	0	0	0	0.562	0.900	0.862	0.993
CDC20	UBE2S	1849070	1845564	9606.ENSP00000308450	9606.ENSP00000264552	0	0	0	0	0.458	0.807	0.900	0.429	0.993
JUN	EGR1	1855436	1843543	9606.ENSP00000360266	9606.ENSP00000239938	0	0	0	0	0.266	0.411	0.900	0.872	0.993
ERBB2	KRAS	1846101	1844404	9606.ENSP00000269571	9606.ENSP00000256078	0	0	0	0	0	0.420	0.900	0.896	0.993
SGK1	FOXO3	1854674	1852227	9606.ENSP00000356832	9606.ENSP00000339527	0	0	0	0	0.050	0.594	0.900	0.846	0.993
AKT1	TP53	1846136	1846083	9606.ENSP00000270202	9606.ENSP00000269305	0	0	0	0	0.052	0	0.900	0.934	0.993
IRF3	CREBBP	1849262	1845124	9606.ENSP00000310127	9606.ENSP00000262367	0	0	0	0	0	0.866	0.900	0.502	0.992
HDAC1	TP53	1855935	1846083	9606.ENSP00000362649	9606.ENSP00000269305	0	0	0	0	0.054	0.637	0.900	0.794	0.992
AKT2	FOXO3	1857974	1852227	9606.ENSP00000375892	9606.ENSP00000339527	0	0	0	0	0	0.669	0.900	0.785	0.992
HDAC1	KAT2B	1855935	1845408	9606.ENSP00000362649	9606.ENSP00000263754	0	0	0	0	0.121	0.474	0.900	0.847	0.992
AKT3	TSC2	1845421	1842755	9606.ENSP00000263826	9606.ENSP00000219476	0	0	0	0	0.057	0.545	0.900	0.836	0.992
JUN	TP53	1855436	1846083	9606.ENSP00000360266	9606.ENSP00000269305	0	0	0	0	0	0.130	0.900	0.919	0.992
SMARCA4	SMARCA2	1853627	1845805	9606.ENSP00000350720	9606.ENSP00000265773	0	0	0	0.971	0.085	0.922	0.900	0.932	0.992
TAF1L	TBPL1	1861354	1843451	9606.ENSP00000418379	9606.ENSP00000237264	0	0	0	0	0.115	0.979	0	0.599	0.992
EGFR	STAT3	1846445	1845584	9606.ENSP00000275493	9606.ENSP00000264657	0	0	0	0	0	0.408	0.900	0.882	0.992
HIST1H2AB	HIST1H2BG	1844723	1843728	9606.ENSP00000259791	9606.ENSP00000244601	0	0	0	0	0.869	0.870	0	0.574	0.992
GTF2B	TAF1	1855275	1846471	9606.ENSP00000359531	9606.ENSP00000276072	0	0	0	0	0.135	0.668	0.900	0.781	0.992
MYL6	MYH9	1862334	1842558	9606.ENSP00000446714	9606.ENSP00000216181	0	0	0	0	0.055	0.889	0.900	0.333	0.992
HIST1H2AD	HIST1H2BG	1852412	1843728	9606.ENSP00000341094	9606.ENSP00000244601	0	0	0	0	0.886	0.870	0	0.515	0.992
TP53	KAT2B	1846083	1845408	9606.ENSP00000269305	9606.ENSP00000263754	0	0	0	0	0.049	0.586	0.900	0.826	0.992
EGFR	ERBB2	1846445	1846101	9606.ENSP00000275493	9606.ENSP00000269571	0	0	0	0.947	0	0.915	0.900	0.978	0.991
GRB2	ERBB3	1852164	1845918	9606.ENSP00000339007	9606.ENSP00000267101	0	0	0	0	0	0.633	0.900	0.785	0.991
FOXO1	AKT3	1857055	1845421	9606.ENSP00000368880	9606.ENSP00000263826	0	0	0	0	0.073	0.669	0.900	0.758	0.991
HDAC1	EP300	1855935	1845316	9606.ENSP00000362649	9606.ENSP00000263253	0	0	0	0	0.067	0.530	0.900	0.820	0.991
KAT2B	TBP	1845408	1843249	9606.ENSP00000263754	9606.ENSP00000230354	0	0	0	0	0.072	0.534	0.900	0.825	0.991
HIST1H2BB	HIST1H2AK	1853610	1851241	9606.ENSP00000350580	9606.ENSP00000330307	0	0	0	0	0.859	0.854	0	0.635	0.991
CDKN1C	CDK6	1860924	1845799	9606.ENSP00000411552	9606.ENSP00000265734	0	0	0	0	0	0.804	0.800	0.794	0.991
FOXO3	AKT3	1852227	1845421	9606.ENSP00000339527	9606.ENSP00000263826	0	0	0	0	0.072	0.669	0.900	0.758	0.991
HSP90AA1	TP53	1851814	1846083	9606.ENSP00000335153	9606.ENSP00000269305	0	0	0	0	0	0.404	0.900	0.845	0.990
KAT2B	CREBBP	1845408	1845124	9606.ENSP00000263754	9606.ENSP00000262367	0	0	0	0	0.141	0.396	0.900	0.831	0.990
HIST1H2BK	HIST1H2AK	1853439	1851241	9606.ENSP00000349430	9606.ENSP00000330307	0	0	0	0	0.859	0.831	0	0.648	0.990
CDKN3	CDK2	1851839	1845906	9606.ENSP00000335357	9606.ENSP00000266970	0	0	0	0	0.191	0.884	0	0.902	0.990
CDK8	MED1	1857394	1848202	9606.ENSP00000370938	9606.ENSP00000300651	0	0	0	0	0.053	0.774	0.900	0.606	0.990
HIST1H2BN	HIST2H2BE	1858441	1854962	9606.ENSP00000380177	9606.ENSP00000358151	0	0	0	0.988	0.080	0.902	0.900	0.679	0.990
TBP	KAT2A	1843249	1843061	9606.ENSP00000230354	9606.ENSP00000225916	0	0	0	0	0.072	0.534	0.900	0.796	0.990
HIST1H2AK	HIST1H2BO	1851241	1848526	9606.ENSP00000330307	9606.ENSP00000303408	0	0	0	0	0.869	0.831	0	0.604	0.990
PABPC1	EIF4A1	1849591	1847443	9606.ENSP00000313007	9606.ENSP00000293831	0	0	0	0	0.201	0.429	0.900	0.823	0.990
HIST1H2BN	HIST1H2AK	1858441	1851241	9606.ENSP00000380177	9606.ENSP00000330307	0	0	0	0	0.859	0.854	0	0.575	0.990
HIST2H2BE	KAT2B	1854962	1845408	9606.ENSP00000358151	9606.ENSP00000263754	0	0	0	0	0	0.525	0.900	0.798	0.989
MED23	MED1	1854719	1848202	9606.ENSP00000357047	9606.ENSP00000300651	0	0	0	0	0.054	0.780	0.900	0.538	0.989
FOXO4	AKT1	1856074	1846136	9606.ENSP00000363377	9606.ENSP00000270202	0	0	0	0	0	0.519	0.900	0.792	0.989
ERBB4	GRB2	1852571	1852164	9606.ENSP00000342235	9606.ENSP00000339007	0	0	0	0	0	0.591	0.900	0.767	0.989
HDAC2	KAT2B	1861837	1845408	9606.ENSP00000430432	9606.ENSP00000263754	0	0	0	0	0.121	0.474	0.900	0.808	0.989
TAF1	TBPL1	1846471	1843451	9606.ENSP00000276072	9606.ENSP00000237264	0	0	0	0	0.115	0.974	0	0.551	0.989
HIST1H2BN	HIST1H2AB	1858441	1844723	9606.ENSP00000380177	9606.ENSP00000259791	0	0	0	0	0.859	0.854	0	0.533	0.989
HIST2H2BE	KAT2A	1854962	1843061	9606.ENSP00000358151	9606.ENSP00000225916	0	0	0	0	0	0.525	0.900	0.786	0.989
HSP90AA1	ERBB2	1851814	1846101	9606.ENSP00000335153	9606.ENSP00000269571	0	0	0	0	0	0.368	0.900	0.831	0.988
HIST1H2BH	HIST1H2AB	1853333	1844723	9606.ENSP00000348706	9606.ENSP00000259791	0	0	0	0	0.859	0.831	0	0.547	0.988
HDAC1	KAT2A	1855935	1843061	9606.ENSP00000362649	9606.ENSP00000225916	0	0	0	0	0.121	0.474	0.900	0.779	0.988
SRSF3	SRSF7	1855976	1850781	9606.ENSP00000362820	9606.ENSP00000325905	0	0	0	0.917	0.514	0.774	0.900	0.863	0.988
HDAC2	HIST2H2BE	1861837	1854962	9606.ENSP00000430432	9606.ENSP00000358151	0	0	0	0	0.054	0.590	0.900	0.730	0.988
HIST1H2BH	HIST1H2AK	1853333	1851241	9606.ENSP00000348706	9606.ENSP00000330307	0	0	0	0	0.859	0.831	0	0.549	0.988
MYL12B	MYH9	1843461	1842558	9606.ENSP00000237500	9606.ENSP00000216181	0	0	0	0	0.069	0.604	0.900	0.729	0.988
CDC25C	TP53	1850370	1846083	9606.ENSP00000321656	9606.ENSP00000269305	0	0	0	0	0.083	0.360	0.900	0.824	0.988
